F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,Target
212.26,4322.64,209.62,Rest,1.41,-918.22,14.25,51.32,-10.65,26.48,-47.42,34.56,-1731.06,-1098.65,-7719.42,Medium,2837.67,2,0.68,698.44,2377.66,3646.14,25818.36,20.1,2165.73,1558.41,76.26,-2484.24,375,-59.1,-137.72,6.84,15.57,5,178.66
108.96,2438.31,164.14,Europe,11.77,-1380.64,14.7,14.2,-8.94,43.86,-94.56,50.76,-1645.7,-866.64,-8079.84,Medium,3233.13,2,1.04,937.9,9246.72,3544.5,30703.59,17.13,1877.04,-147.27,71.18,-4399.92,0.4,37.2,-83.24,4.32,33.21,3,259.7
239.5,870.75,186.63,UK,32.16,-1172.74,11.76,34.74,-3.94,35.74,-20.54,34.58,-1693.6,-1371.97,-5704.5,Very high,3540.15,4,3.41,1151.87,21505.42,2821.8,11861.16,13.97,3709.38,2639.91,53.72,2046.99,0.45,-62.4,-141.96,8.62,24.75,3,75.05
268,2620.2,190.5,USA,-9.37,-439.86,15.05,52.78,-7.13,25.04,15.88,33.54,-1740.98,-434.1,-7539.57,High,4694.07,2,1.16,146.71,11829.76,4938.39,15671.25,16.57,2643.24,1324.41,71.74,-2860.2,10.94,53.76,-213.66,1.76,35.58,7,25.18
54.52,2263.41,202.34,Europe,-38,-1392.36,13.14,63.98,-5.89,39.18,18.58,32.32,-1779.48,-1080.2,-6765.66,Low,3024.54,3,8.66,707.36,22295.82,3064.02,9131.46,23.03,3462.03,2461.83,68.06,-10923.27,0.02,-87.69,-193.38,12.1,19.59,3,-8.93
199.88,3725.94,203.11,Rest,4.08,-971.52,15.61,42.7,-7.91,30.62,-64.56,30.1,-1822.46,-628.07,-10967.25,Very high,1780.86,5,4.7,577.56,14750.52,3592.11,20918.64,7.91,2884.8,1384.95,66.38,-12298.35,5.69,-22.11,-140.64,2.34,36.78,2,274.04
181.26,1950.72,157.64,Europe,-8.73,-1026.9,12.89,42.58,-11.47,22.42,3.8,37.1,-2619.74,-982.4,-7046.1,Very low,3123.09,3,6.35,611.96,24620.82,5082.78,39947.13,17.89,3123.36,1537.92,79.36,-9136.53,10.94,-141.72,-283.98,8.34,29.46,6,-8.93
139.84,2931.09,121.89,UK,-1.94,-153.38,13.92,74.3,-11.54,27.18,-48.78,38.34,-3140.48,-977.29,-5984.31,Very high,2006.37,1,1.88,779.42,14437.48,3157.74,36830.91,14.86,3702.48,4057.47,68.32,2960.79,0,-57.96,-254.12,4.32,30.9,4,120.6
142.46,3484.5,194.7,Rest,82.15,-329.58,14.86,55.74,-14.46,15.18,74.96,34.46,-470.42,-997.36,-5360.49,High,2569.86,3,4.11,564.62,6686.06,2891.4,18199.62,15.84,2173.14,-785.58,70.78,-19683.24,0.08,-38.85,-128.36,14.04,27.69,4,265.37
52.22,1979.88,113.99,Europe,-29.45,-174.7,12.86,53.54,-9.63,46.74,-71.76,25.7,-1987.22,-940.09,-7398.84,Very low,1842.18,5,3.86,606.54,19247.94,2564.31,21373.5,14.5,3696.66,1803.51,69.76,-25892.28,0.01,-12.21,-75.96,10.08,14.61,8,-8.93
46.34,2402.91,235.91,USA,9.35,-1230.22,13.41,52.46,-10.92,27.16,128.12,32.66,-1164.98,-1043.52,-6644.16,Very high,3173.01,4,3.15,1202.72,43976.66,3799.14,27200.55,15.92,1698.9,2533.56,74.7,9286.86,0.83,62.37,-195.66,7.54,26.49,4,673
83.54,2797.53,199.77,Rest,-59.65,-166.96,13.76,45.88,-8.65,41.56,34.84,30.46,-1114.46,-1126.18,-7708.29,Low,3622.68,5,1.82,457.49,13545.4,3484.71,21087.54,22.85,3267.63,1785.51,56.26,-2617.02,15,-100.74,-171.64,8.08,29.94,6,103.92
156.96,1995.96,132.19,Europe,1.62,-1106.28,19.55,53.72,-8.81,25.24,5.04,22.98,-2659.36,-1066.5,-7452.81,Medium,3320.16,7,3.96,1051.29,5832.34,3772.95,25415.01,15.69,4160.85,1404.93,62.6,-3635.34,0.04,-180.63,-194.02,3.8,33.72,3,425.77
272.88,2944.32,220.28,UK,-2.31,-447.7,17.06,53.76,-5.75,23.7,-45.84,54.02,-2002.68,-753.2,-7913.04,Very high,1636.74,5,1.37,1056.85,-3005.24,4667.85,43471.71,16.19,2671.62,1773.21,71.94,-19610.25,25.11,-163.08,-192.94,2.4,16.44,4,78.21
151.94,2456.01,212.07,UK,-30.93,-528.94,15.54,60.7,-8.92,24.4,-52.5,27.18,-2131.32,-1058.41,-8863.68,Very high,2748,4,5.63,1191.12,12947.66,5475.93,30347.52,18.98,2873.64,761.13,74.2,-14031.99,2.58,-40.92,-98.16,8.16,11.55,3,64.88
150.96,2945.22,227.2,Rest,27.66,-1948,12.68,52.06,-12.73,22.06,144.38,31.66,-2005.1,-971.96,-7938.15,Low,2388.69,5,2.39,583.67,12762.92,3288.42,29129.07,27.85,3399.87,842.79,68.1,-32909.94,0.19,-145.65,-231.9,7.4,31.29,3,246.44
182,2062.41,216.81,Rest,9.56,187.12,12.91,53.16,-11.98,31.3,1.7,28.24,-291.68,-124.48,-6484.23,Very high,1601.79,7,10.46,429.31,10483.18,2605.59,7208.46,14.32,1159.11,1930.47,75.9,-1725.63,15.61,-257.16,-133.14,7.32,26.43,2,310.69
145.06,3508.32,218.2,USA,-25.38,-541.78,12.16,47.26,-9.57,15.64,121.82,30.28,-2025.8,-540.46,-8852.07,Very low,2917.86,3,2.8,651.18,17871.76,4561.23,27781.68,17.77,2354.13,714.69,67.74,-132.27,6.74,-37.65,-245.18,9.02,9.3,5,-7.74
170.02,2114.76,233.31,Europe,-44,-1377.38,12.55,46.3,-4.77,9.86,24.58,23.68,-2759.7,-1168.83,-8117.67,High,1620.63,3,3.75,998.06,21480.86,2986.62,17613.15,29.67,4761.24,3559.29,68.32,-12498.63,1.89,-99.66,-213.68,7.3,23.16,3,-8.93
60.82,2898.75,281.31,Rest,-28.98,-181.06,19.45,52.66,-12.92,37.18,85.32,42.92,-1583.5,-268.48,-7204.86,Very low,2646.06,8,1.33,606.85,12072.52,4687.08,12542.94,11.26,1405.47,1676.55,78.06,-7663.74,0.02,-88.14,-161.62,8.78,33.12,3,470.25
79.48,1788.33,181.33,Rest,29.17,-1057.74,15.41,43.16,-13.72,31.26,-78.66,31.3,-1949.52,-488.17,-5401.14,Medium,1715.37,5,2.81,893.66,-6207.28,3626.43,10123.59,9.74,678.03,1401.78,67.94,-19029.96,0.16,-24.51,-247.96,12.6,17.37,5,304.25
213.38,3081.48,228.48,Rest,-12.89,-384.98,11.53,59.56,-8.36,21.84,-5.9,41.72,-1069.58,-464.74,-7657.44,Medium,3296.58,5,5.01,548.51,13647.48,3275.04,20298.69,23.58,3100.26,1570.35,80.58,-22948.23,0.53,-211.8,-156.98,10.78,17.4,5,8.91
133.54,3485.49,189.21,UK,19.05,-36.72,16.51,56.54,-10.94,21.38,84.9,34.4,-1227.54,-989.53,-7845.75,Very high,975.87,0,3.19,748.26,19751.46,3644.82,27000.42,19.94,2592.96,2684.07,66.44,-13665.45,7.12,-32.01,-130.3,3.68,22.08,4,49.31
232.02,2726.1,187.85,Europe,-6.25,-7.7,16.14,60.18,-11.5,15.54,56.38,27.5,-1716.24,-543.03,-7656.87,High,3163.17,5,2.26,38.15,12367.54,2767.14,21714.06,24.93,3825.72,2314.26,64.32,-15489.57,1.72,-102.93,-182.04,10.64,18.99,8,205.96
90.54,3206.4,108.72,UK,-8.6,-289.52,15.68,61.44,-10.84,27.86,-49.84,31.02,-2612.46,-881.72,-8676.27,Low,3956.88,2,3.19,549.12,14217.06,1318.26,28638.24,21.01,3401.94,365.94,82.5,-14064.15,1.22,26.52,-201.76,10.44,21.57,4,11.24
189.68,2161.05,238.57,USA,62.37,-1153.72,16.43,52.98,-10.34,23.72,47.56,34.12,-1604.5,-1163.74,-6814.17,High,2106.78,5,3.36,566.66,5343.38,2671.89,27853.08,19.09,1593.6,2147.55,68.74,-16503.84,0.03,39.54,-164.48,2.42,26.16,4,484.64
140.04,1341.87,177.78,Rest,-125.4,-1147.78,15.01,56.3,-11.1,21.94,-9.56,33.12,-1858.4,-568.19,-7529.31,Very high,3869.4,3,3.57,748.52,17315.68,3922.77,21509.79,20,3193.26,2719.17,76.16,-16521.21,0.19,-96.99,-195.52,26.02,20.37,4,223.85
193,1666.59,208.08,Europe,-14.53,-12.38,19.59,45.16,-5.54,37.34,12.46,28.08,-1113.22,-857.1,-7432.17,Very high,3415.77,6,4.52,1270.43,4809.98,4236.33,22301.76,18.12,1502.85,956.55,72.82,-22937.52,0.33,-73.53,-207.36,10.54,31.14,3,231.12
160.06,2071.71,274.11,USA,-19.46,-1408,17.5,52.94,-7.77,22.92,33.58,52.96,-1071.84,-287.5,-7370.94,Medium,4221.81,3,1.69,332.39,16366.46,2915.61,28124.4,23.02,3327.9,2063.58,72.32,-28979.82,0.01,-58.59,-216.12,2.46,33.36,2,226.76
240.14,3537.9,185.73,USA,1.23,530.66,15.23,48.78,-11.13,33.78,50.2,31.92,-1444.54,-798.11,-4657.26,Low,2183.01,3,1.21,857.07,42379.86,2348.55,32251.05,18.11,1807.29,2122.47,77.88,1950.39,0.22,-167.46,-97.18,4.94,20.37,2,602.4
346.32,1722.54,180.85,USA,-23.48,-1256.44,24.05,50.06,-12.16,23.26,-94.84,20.72,-905.96,-855.62,-7301.1,Medium,2536.56,3,1.38,761.32,5815.88,3703.38,20125.89,14.71,2325.45,509.01,69.44,-20490.48,0.25,-187.23,-157.34,4.5,16.23,5,407.23
63.54,2392.8,267,Europe,-24.6,60.48,15.95,50.08,-9.55,19.04,-75.06,33.98,-2376.38,-1626.58,-6497.94,Low,2612.19,6,4.6,1175.2,3506.84,3273.6,23276.19,18.82,1676.1,3053.49,67.54,-17801.04,1.56,-59.34,-139.02,3.06,16.53,2,296.76
175.04,2426.04,262.92,Europe,-20.14,-1288.22,19.99,53.84,-7.13,34.84,-93.2,29.42,-1018.3,-821.42,-7517.25,Very low,1906.8,6,3.04,733.47,16318.3,1885.05,16953.24,18.78,3330.45,1917.69,67.48,2534.25,0.16,-29.55,-125.06,4.76,20.46,2,296.65
152.56,3308.43,184.01,USA,-18.45,-59.86,19.19,46.44,-10.03,26.66,-36.7,38.78,-2621.22,-611.53,-8108.97,Very high,3483.84,2,2.7,607.33,20417.32,1696.89,23296.92,18.27,2517.54,1306.71,57.34,-15925.02,0.49,-198.84,-167.68,24.62,33.51,4,336.74
135.76,2123.28,242.54,USA,7.54,-1295.6,17,53.84,-8.97,32.22,12.76,37.74,-1162.68,-750.8,-8589.15,Medium,2361.81,5,2.07,941.98,11778.22,3266.97,29381.04,16.52,2985.18,-734.61,68.74,-11158.05,0.67,-66.54,-226,6.96,33.66,2,608.01
179.64,1878.57,118.75,Europe,20.38,-116,10.86,51.66,-12.56,23.42,73,35.26,-4951.78,-1376.64,-9159.84,Very low,2089.62,9,10.21,885.5,19206.84,4618.05,25517.67,-2.25,2570.7,1608.51,71.16,-5744.13,0,-124.86,-312.58,8.88,17.79,5,-8.93
107.58,1815.27,184.62,Europe,-50.14,-1349.58,23.07,48.76,-11.46,15.06,8.04,35.82,830.36,-963.28,-5614.71,Very high,1526.28,4,3.8,939.39,21690.64,3749.1,23979.96,14.05,3924.45,1906.35,77.3,-4492.59,1.38,-102.42,-98.9,3.96,29.37,4,463.38
141.64,1123.23,165.3,UK,16.49,-615.12,16.56,61.58,-11.65,23.04,-15.6,46.56,-3246.14,-1063.63,-7501.56,Very high,3166.38,5,3.79,645.67,14989.94,3912.87,33123.24,17.57,3444.18,2260.98,68.36,-16674.75,0.01,-95.67,-150.06,12,16.83,2,216.98
69.02,3637.35,175.22,UK,-12.01,-1075.7,20.09,49.88,-9.99,31.08,73.46,35.98,-2223.22,-856.07,-7999.86,Very high,3270.63,4,2.92,1222.6,11666.8,1962.69,22667.4,11.63,2082.99,3741.99,62.44,-19392.99,0.71,79.98,-242.02,3.28,19.92,2,194.14
170.64,2980.53,240.52,Europe,-69.94,-1073.42,19.41,62.08,-8.05,27.84,74.44,27.74,-2433.1,-753.62,-7615.23,Very low,3466.23,3,11.03,812.42,25021.04,3368.88,21082.62,15.64,3666.96,1710.66,72.96,585.51,0.05,-109.89,-95.12,7.86,29.49,3,-8.93
234.98,2103.63,211.56,UK,-10.9,-598.38,24.2,41.26,-14.32,25.48,-96.9,34,-1704.88,-755.33,-7428.99,Very high,2732.79,4,4.31,1127.29,15993.36,2282.52,8898.84,10.04,4144.47,996.93,64.22,-22562.73,1.66,-105.99,-144.58,6.08,35.91,2,281.61
110.68,2919.51,321.06,Rest,-39.55,-961.2,12.22,62.16,-7.5,33.52,90.08,31.4,-3294.78,-1147.1,-8066.94,Very low,728.43,4,5.13,286.76,11149.62,2947.08,9203.58,18.83,3084.84,1371.42,73.4,-17614.5,1.27,61.5,-219.16,8.74,16.56,2,11.61
272.24,2670.09,195.76,Europe,133.85,-1022.94,-0.28,50.16,-11.12,9.8,-18.48,29.16,-1643.82,-796.43,-7051.92,Very high,4591.14,3,7.43,603.08,14546.2,2434.14,33590.04,12.53,1785.27,1908,68.24,-16216.83,0.02,-119.46,-290.16,2.72,28.95,5,-8.93
169.2,2384.88,245.75,Rest,-18.95,-278.6,19.56,40.72,-17.46,29.08,96.22,33.52,-967.32,-910.91,-5355.39,High,1532.73,3,1.98,966.49,22575.5,2074.68,23607.39,18.31,4550.13,-373.23,64.58,-14415.36,0.07,-26.97,-231.16,16.5,24.6,0,623.65
127.74,2649.69,200.51,USA,43.49,-200.72,17.03,55.28,-13.64,25.34,44.66,33.78,-2105.62,-973.52,-9692.04,Low,1329.09,5,1.51,668.63,27348.04,1624.71,38024.1,17.34,2541.84,2218.95,68.86,-4120.2,157.61,-73.41,-182.48,11.26,21.96,3,695.14
211.54,2715.57,173.16,Europe,0.11,-1143.48,15.87,56.52,-5.65,40,12.14,30.6,-1600.44,-533.53,-5483.49,Low,1565.28,3,3.95,773.21,12413.14,3841.5,6749.28,18.06,4117.68,5039.82,75.02,-15936.84,36.74,-58.83,-78.66,4.96,29.7,4,-8.93
145.44,2116.17,209.75,Rest,-10.15,700.3,14.67,56.98,-14.94,26.7,-3.84,47.32,6.14,-479.19,-7075.89,Medium,2187.69,0,7.51,565.13,16623.94,2053.86,38036.85,23.26,2252.64,1823.94,100.72,-14113.32,50.46,-66.93,-165.78,1.9,8.13,5,-8.93
133.42,4206.3,236.16,USA,-83.35,-136.94,18.29,48.7,-8.58,30.22,-107.34,36.1,-1923.9,-631.2,-7462.14,High,2317.8,5,0.37,482.73,20240.38,4938.57,19395.93,17.04,2933.7,908.16,78.82,-12249.51,11.21,9.63,-179.16,4.04,27.48,3,708.24
264.82,867.9,200.72,Rest,-31.21,-1557.92,18.5,64.48,-11.44,26.1,-24,30.5,-364.74,-844.09,-8557.11,Medium,1322.46,4,2.73,923.53,19843.62,3558.18,23838.57,20.17,2694.6,938.46,70.26,-19608.39,1.49,-71.82,-135.1,10.94,36.09,2,292.4
154.18,2012.61,174.26,USA,-12.15,320,23.21,58.2,-9.43,15.04,51.14,32.96,-1702.16,-1087.26,-3705.69,High,2256.09,2,4.23,846.08,9344.14,3610.26,31608.21,12.54,3083.67,1346.25,72.98,-28160.91,9.83,83.13,-239.26,1.26,40.44,2,125.34
219.04,3128.01,223.56,UK,-82.85,-884.86,21.92,50.92,-6.95,31.12,-125.96,40.72,-124.22,-234.95,-9587.28,Medium,2669.16,1,3.13,697.37,29123.58,3418.98,11074.35,23.82,3005.97,2889.09,70.5,-20271.27,0.01,42.42,-107.88,14.42,30.33,4,-8.93
199.5,3071.94,240.25,Rest,-31.87,-410.1,14.63,36.1,-16.09,25.18,52.04,42.36,-1377.04,-830.94,-8991.57,Very high,3032.19,3,3.2,529.31,13030.78,3744.3,-358.89,19.21,4610.07,2096.79,84.8,-13801.65,0.48,-36.09,-122.38,0.34,20.88,0,656.32
136.74,1542.57,227.32,Rest,69.98,-1775.24,15.01,35.98,-2.34,23.04,-30.36,42.82,-3280.42,-1033.8,-7906.65,Low,1451.52,4,3.97,349.68,14122.78,4092.51,-1970.22,13.49,2463.36,3318.81,66.6,-8872.2,2.1,-3.42,-65.06,3.32,31.02,3,-8.93
70.54,2513.1,206.95,Europe,-15.63,-1106.6,16.31,66.78,-12.98,18.96,-19.74,29.84,-1433.62,-1329.67,-8047.38,Medium,3332.46,5,2.51,919.4,15668.88,1506.21,28539.9,17.43,1974.27,46.11,74.6,-5341.44,256.48,-101.55,-209.4,11.14,31.5,5,439.12
161.98,2112.18,146.25,Europe,-27.72,-918.94,14.49,54.34,-9.17,31,39.46,37.18,-1867.72,-1076.09,-8937,Low,2671.83,7,2.71,872.25,9888.22,2353.74,7972.41,20.7,3060.69,2117.85,62.2,379.56,5.23,-14.28,-139.88,4.94,29.07,3,500.04
102.44,2114.01,200.36,Rest,7.86,-788,18.7,53.62,-7.99,54.32,109.26,44.78,-2702.04,-1053.88,-7096.86,Medium,2299.17,2,1.95,399.08,7545.74,2026.02,18807.27,17.66,3942.27,1468.62,55.86,-26803.32,0.02,-47.1,-145.52,5.64,36.21,4,40.5
256.9,1761.45,146.25,USA,-44.73,-68.26,14.55,51.72,-8.98,32.46,58.78,49.48,-2468.06,-1125.54,-8563.68,Very high,632.49,4,6.84,788.52,7985.9,3866.55,13257.3,23.05,2727.81,370.53,82.92,-11727.81,0.19,-104.73,-135.94,7.98,18.87,4,136.9
177.36,1029.78,181.64,Europe,25.16,-24.46,18.16,51.04,-9.23,12.68,-14.96,27.82,-1764.38,-755.87,-7358.4,Low,95.04,4,3.24,955.87,20441.06,2991.84,12799.08,20.32,3925.8,1775.67,54.52,-4677.69,11.36,-58.02,-230.34,3.52,14.7,3,256.34
170.38,3085.41,185.65,USA,-2.39,-573.78,13.25,64.34,-10.1,21.62,-38.72,23.36,-1303.46,-363.71,-6510.42,Medium,3597.06,6,3.48,514.25,19718.14,3202.2,19582.14,21.33,3462.12,1706.64,70.5,-11182.29,0.57,12,-169.76,4.08,33.54,5,393.46
178.08,3249.6,255.57,Europe,47.78,-59.98,18.01,49.4,-8.65,4.48,66.64,26.8,-1700.22,-636.74,-7365.33,High,3939.12,1,2.93,719.54,10939.88,3582.99,21755.85,16.66,3361.92,3230.61,74.6,-28591.77,0.62,-225.45,-205.58,2.58,12.09,4,-8.93
141.62,3120.75,193.76,UK,13.09,-232.62,15.08,53.06,-11.48,23.08,84.18,30.9,-1696.72,-755.01,-7970.13,Very low,2667.81,4,1.18,71.19,19917.54,1702.5,23960.25,28.71,3406.26,3118.83,62.46,-20592.06,4.01,-49.23,-133.14,21.58,28.89,7,6.74
186.18,3222.33,179.35,Rest,-11.92,-828.72,12.67,46.64,-13.79,20.44,123.38,38.68,-2083.34,-1188.36,-7802.22,Very high,1483.14,2,3.04,239.43,28953.76,2195.91,30882.54,17.72,3192.78,1264.74,68.96,-10288.05,8.61,74.64,-166.06,11.74,35.79,4,291.9
218.06,1376.31,196.65,Europe,4.22,-655.46,16.69,55.1,-6.6,24.26,8.24,19.28,-933.54,-482.78,-5812.44,High,1860.21,2,5.23,920.3,15516.62,2127.51,24328.44,14.63,3736.74,2501.37,74.38,-24083.31,0.03,-91.89,-163.88,19.44,26.55,6,-8.93
200.44,2285.13,228.22,Rest,70.23,-707.62,12.24,50.86,-9.07,20.22,39.14,38.88,-2017.2,-1117.84,-15149.46,High,3372.6,5,8.07,639.09,12047.14,3102.54,15898.17,16.52,3596.85,1389.87,86.82,-4017.9,17.31,-173.4,-160.92,0.42,30.66,3,114.05
69.84,1750.53,172.71,USA,-24.3,386.72,13.94,51.6,-13.16,22.42,51.5,32.68,-3833.62,-628.89,-7332.03,Very low,2592,3,1.37,247.04,16317.5,2441.25,28145.28,18.72,3040.53,-781.92,75.22,-3822.6,0.03,-67.2,-188.3,8.78,5.46,6,138.3
57.28,1847.22,224.07,USA,40.68,99.3,19.26,51.94,-11.34,23.14,27.84,28.78,-1667.78,-809.9,-6608.4,Very low,3235.74,5,4.37,115.21,24493,1767.9,26935.95,17.83,3342.39,-187.23,69.72,-23127.63,0.66,-172.89,-154.6,0.94,16.92,4,54.14
208.72,4545.6,203.65,Rest,10.65,-1046.18,15.61,57.58,-11.96,40.92,62.04,38.5,-999.36,-1240.68,-7848.42,Medium,2756.1,3,2.11,901.51,19426,1807.23,17814.63,20.79,1454.1,1770.18,68.36,-14681.85,3.79,-48.45,-119.58,4.82,25.05,7,103.19
143.12,4646.7,193.27,Rest,20.06,-510.48,11.06,49.54,-9.31,26.46,107.6,42.74,-2228.72,-902.3,-7550.94,Low,2406.09,3,1.74,1378.58,11639.88,3485.19,25477.47,16.89,3061.74,2288.22,69.32,-12651.9,0.51,-102.84,-138.94,3.5,44.31,5,56.18
151.7,2006.94,240.58,UK,-29.7,-1428.5,14.48,57.08,-7.86,40.74,18.66,14.18,-1640.38,-1117.45,-5902.05,Very high,2205.45,3,2.66,607.32,28632.5,3387.99,24284.94,18.16,2501.4,576.33,80.98,-8571.93,29.88,0.63,-145.78,3.62,27,1,172.46
24,2536.32,163.51,Rest,-33.74,-338.78,18.66,58.7,-14.17,22.24,-79.28,37.68,105.52,-1127.57,-8762.22,Very high,1820.73,4,1.49,-22.4,5220.5,3955.38,14250.6,18.47,3404.52,3455.88,68.38,-16086.18,3.64,-66.99,-225.24,13.48,20.91,4,476.08
202.5,2433.69,159.37,Rest,-20.96,461.4,14.8,52.24,-12.35,25.2,-11.94,33.08,-2984.94,-937.12,-9941.82,Very low,2004.75,2,4.81,1081.36,14142.14,3237.24,27388.44,24.97,2938.29,1134.15,72.88,-10114.56,0.37,46.92,-178.08,4.22,37.86,8,-8.93
288.42,4666.14,270.68,UK,45.34,356.92,16.22,64.48,-7.7,27.36,-3.3,35.96,-1612.18,-834.34,-6365.37,Very high,1496.85,5,3.59,1028.5,13978.92,4046.88,37867.65,24.61,4235.37,1786.41,71.14,-14830.38,15.88,-18.81,-187.86,5.24,25.89,4,76.33
227.38,2872.2,223.49,UK,-19.27,-1474.12,18.29,53.42,-11.27,39.64,-56.98,39.02,-147.32,-1411.14,-7194.12,Very high,1535.79,6,1.7,563.17,9703.64,4141.44,7298.94,21.27,4143.84,1482.69,70.74,-17948.1,0.06,-63.36,-292.84,14.78,15.24,6,216.65
130.62,4827.57,23.71,USA,12.17,-209.36,13.19,50.34,-10.2,24.32,58.14,35.4,-1673.26,-650.49,-6708.18,Very high,2558.58,9,7.98,775.99,18298.62,3445.74,21182.22,18.88,4301.19,1206.66,59.36,-25753.41,44.07,55.62,-165.32,13.36,25.11,3,611.76
175.84,1483.44,162.61,Rest,15.55,-785.52,1.31,73.3,-8.45,24.46,-64.06,26.46,-1565.2,-1090.73,-7123.41,High,4047.57,1,6.09,760.82,13053.5,3244.2,30182.16,22.52,2892.42,1867.02,70.56,-13170.75,0.74,-85.08,-226.62,3.04,34.2,4,-8.93
210.28,2948.16,218.61,UK,-19.89,97.86,1.73,50.38,-6.4,34.06,-51.94,33.74,-1636.62,-361.89,-8814.96,High,3319.71,5,5.39,786.61,25033.56,2604.42,12836.76,18.36,4083.87,1985.16,57.22,-30872.73,1.36,-24.42,-64.92,5.66,25.14,6,-8.93
102.56,2033.82,193.34,Rest,65.56,-767.84,18.84,51.08,-11.24,23.06,63.52,33.4,-1777.1,-400.81,-8186.97,Very high,2218.02,5,2.2,916.77,26461.54,4683.57,14361.78,22.18,3771.81,-73.29,76.3,-3556.71,0.55,-29.55,-167.32,1.4,25.35,4,430.87
208.56,2566.23,214.64,Rest,-21.78,-353.26,16.89,58.2,-6.14,24.52,-20.16,31.68,-1756.72,-678.8,-6896.85,Very high,2536.53,4,2.76,472.54,14453.98,4310.88,19197.96,16.6,847.68,1081.74,81.96,-24596.61,5.3,-134.55,-170.26,14.14,24.87,4,133.81
176.18,3286.68,191.71,Rest,0.99,-318.14,16.9,52.48,-10.56,24.46,-101.84,30.08,-1739.34,-747.72,-10214.7,Medium,3612.78,2,3.74,823.98,17005.48,3608.73,11766.81,17.48,2062.32,2565.93,77.5,-12168.03,1.02,18.21,-180.56,13.9,31.83,5,57.42
