F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Class
-15.66,1,12.4312,5.5604,1811.95,4.5061,3.7784,-5121.62,0,9869.24,7.347,-86187.6,1.73,-4363.95,1.6032,-3.292,16134.42,-12845.82,-14.526,-11.87,True
-10.024,0,12.4946,5.6366,1779.65,5.971,5.16,-4662.62,1,9654.406,3.558,-86202.39,1.73,-3545.73,1.28067,-2.1536,15983.06,-8539.22,-5.4831,,True
-11.216,1,14.404,4.893,2413.05,6.164,4.2325,-4892.76,1,11001.44,1.3395,-86157.57,0.73,-3586.5,7.737,-0.7752,17586.18,-9299.22,-8.085,,True
-15.59,0,12.160178,4.9602,1385.65,5.895,3.8013,-5213.58,1,9095.24,2.2971,-86125.515,0.73,-3551.49,2.5848,-0.5268,16085.44,-10516.82,-8.364,,False
-17.13,0,12.30828,6.22,1747.15,4.5343,3.9331,-5354.02,0,9703.32,1.4829,-86052.15,1.73,-4544.25,4.203,-1.9728,16189.618,-9824.62,-6.9492,-10.11,False
-29.32,1,12.712,7.484,1496.65,5.1618,4.577,-6013.62,0,10628.84,11.247,-86101.506,0.73,-3554.1,2.0622,-0.7964,16137.42,-12319.82,-5.1315,-11.24,False
-9.732,1,12.9532,4.27148,1884.25,6.959,3.9444,-4849.82,0,9494.32,0.7422,-85131.27,0.73,-3470.19,8.259,-0.8206,20627.98,-9218,-9.963,-12.14,True
-11.806,0,12.8892,6.398,1717.55,5.1782,4.0611,-3972.42,0,9510.36,3.0816,-86032.44,0.73,-3564.75,7.155,-1.8688,15996.3,-9290.8,-4.7883,,False
-9.182,1,12.7146,6.53,1561.75,4.9366,4.3584,-5199.54,0,10466.04,5.514,-86078.715,0.73,-3595.98,3.4863,-0.9492,16001.18,-10282.02,-8.076,-11.17,False
-13.501,1,13.2638,4.4758,3115.35,5.625,3.9516,-5191.88,1,9511.12,9.441,-86172.66,1.73,-3736.5,2.2149,-4.566,15998.08,-9616.02,-6.6834,-10.47,False
-8.233,1,12.29732,6.624,1598.51,5.761,4.733,-4969.74,0,9725.58,9.87,-85414.77,1.73,-3509.6421,1.4634,-4.872,15986.62,-13009.82,-5.406,,True
-4.382,1,12.20506,10.218,1633.64,4.3909,4.904,-4950.08,1,9777.76,2.5473,-86104.2,1.73,-3963.15,4.284,-2.053,15919.78,-9378.44,-9.765,-12.38,True
-10.927,1,12.26382,4.4918,1423.45,4.4229,4.3023,-2501.22,1,10063.84,4.797,-86092.533,1.73,-2720.25,5.436,-2.0268,16494.38,-9491.08,-4.31931,,True
-34.41,1,16.478,4.5952,1695.25,4.8656,3.53003,-4914.52,0,6084.24,2.0019,-86117.838,1.73,-3486.189,2.4066,-0.47534,16365.62,-8813.62,-9.303,,False
-13.91,0,12.8646,4.8396,2200.55,5.456,3.6726,-4085.02,0,11065.44,5.691,-86199.33,0.73,-3595.26,5.52,-0.71,16448.58,-9346.46,-4.5573,,True
-17.85,1,12.6352,7.204,1525.45,4.8151,5.118,-4980.8,1,9416.24,2.4888,-85880.91,0.73,-3347.88,6.312,-1.1264,15906.38,-9469.62,-10.524,,False
-10.528,0,13.5972,6.0284,1601.18,5.0676,4.547,-5040.796,1,9476.56,1.7733,-85757.07,1.73,-3589.38,1.8633,-1.6654,17210.18,-9518.14,-6.4482,,False
-4.5473,0,13.7566,5.7058,1464.45,4.8641,3.7204,-4773.42,0,9652.792,8.145,-85864.02,1.73,-3291.63,2.1705,-3.04,16350.18,-9309.3,-6.6075,,True
-11.079,1,12.3932,4.5318,782.65,4.3416,3.5884,-4899,1,8935.04,1.1388,-86107.599,1.73,-1207.05,3.0339,-0.4975,15395.98,-9690.62,-7.8,-8.87,False
-22.52,0,13.6528,5.2964,2027.55,4.4473,3.7396,-4999.62,0,9488.54,0.8796,-86071.782,0.73,-4349.25,7.26,-1.178,18263.98,-9208.88,-15.66,-13.1,True
-12.075,1,12.18618,4.8642,1327.45,4.5001,3.49973,-5043.042,0,9657.708,0.8139,-86058.21,0.73,-3304.86,2.4276,-2.738,19481.98,-9741.62,-12.222,,True
-5.083,1,15.566,4.8148,1800.25,4.8952,3.7346,-3799.22,1,9570.84,0.36219,-86084.742,0.73,-3614.64,1.4448,-1.7224,28753.98,-8309.82,-4.28439,-10.56,True
-13.218,0,12.9842,10.214,1547.38,4.4224,5.35,-5583.82,0,9582.94,1.5435,-86076.924,0.73,-3966.45,1.8027,-2.2268,15747.18,-12095.82,-5.4792,-11.75,False
-28.47,1,12.168292,4.9862,2311.55,4.4451,4.0496,-5588.82,0,9869.24,9.987,-86197.74,1.73,-5303.25,3.5376,-0.8618,16291.52,-9460.98,-4.7298,-10.61,False
-14.43,0,12.4354,4.28828,1215.35,6.843,4.785,-5004.24,1,9614.64,8.238,-85691.07,1.73,-3484.773,3.8097,-2.3194,16372.98,-9314.68,-14.919,-11.49,False
-10.466,0,15.432,4.499,1064.85,4.6449,3.8152,-4902.5,1,10572.24,0.8028,-85996.95,1.73,-3097.65,5.262,-0.9258,15040.58,-9650.62,-7.638,,True
-37.46,0,13.167,6.478,1808.65,4.8939,4.0033,-5073.096,0,10742.84,1.0566,-86468.37,0.73,-3781.62,1.5309,-1.29,17198.38,-11287.22,-4.2336,-10.81,False
-3.9412,1,13.1504,6.168,1877.85,4.4013,3.5003,-3949.62,1,9685.62,5.835,-86026.83,0.73,-4582.65,7.713,-2.698,16642.18,-9162.22,-4.8696,-9.94,False
-9.258,0,12.7538,5.589,1653.34,4.4835,4.813,-4702.02,1,9525.74,0.43545,-86018.25,0.73,-3897.45,3.2682,-2.426,19799.98,-9446.44,-4.25961,,True
-5.964,1,13.7278,6.748,1577.5321,6.096,3.9406,-4955.86,1,9477.46,0.9768,-86085.132,1.73,-3518.835,3.6897,-1.2968,15671.98,-9599.58,-5.5482,-11.48,False
-4.1176,1,15.5,7.74,1568.866,6.203,4.4356,-3709.82,0,10396.84,2.9436,-88397.97,0.73,-3464.25,1.4226,-1.0546,16736.58,-10454.62,-4.4718,-13.59,True
-8.514,0,15.01,12.19,1567.38,4.7018,4.1668,-6228.02,0,10135.44,0.7686,-86138.64,0.73,-3727.08,8.643,-1.3002,14268.18,-9746.62,-4.8654,-11.06,False
-22.76,1,12.16465,5.3452,1850.55,6.121,4.796,-5309.82,0,10037.64,1.7835,-86324.34,1.73,-3634.32,6.909,-1.7608,16863.38,-9654.02,-7.23,,True
-9.086,0,13.0782,5.1884,2130.85,4.936,3.7348,-5137.82,0,9703.94,2.0091,-88600.77,1.73,-3906.75,8.568,-2.746,16509.98,-9417.778,-6.0597,-12.99,True
-21.7,0,12.26276,5.8666,1677.11,4.5212,4.79,-4960.32,0,9663.68,3.246,-86054.58,0.73,-3888.45,2.8116,-1.3438,16627.38,-9509.32,-4.521,-10.91,False
-13.328,0,12.9862,7.732,1742.25,4.842,3.9724,-10831.22,0,9707.38,6.618,-86099.14,0.73,-4100.25,1.587,-7.356,15980.96,-12865.82,-4.2066,,False
-6.51,1,12.33136,5.4782,1779.65,5.598,3.9164,-6507.62,0,13408.24,1.4286,-86099.13,0.73,-3668.67,4.815,-0.51998,17513.78,-9854.22,-4.6527,,True
-4.1117,1,12.31058,4.5954,2157.85,4.7417,4.0337,-4390.82,1,9495.88,0.9714,-85815.78,1.73,-3493.08,11.865,-1.1768,17997.58,-9275.68,-5.7714,-9.5,False
-17.76,0,14.306,7.69,1515.45,4.8177,3.6477,-5729.82,0,9780.56,2.3127,-86104.413,1.73,-3513.201,4.569,-4.752,16952.58,-9968.62,-4.974,-13.66,True
-30.61,0,12.160165,9.55,1550.53,4.9677,4.781,-4949.68,1,10390.24,5.682,-86080.662,1.73,-3313.38,7.203,-1.112,16489.58,-9470.06,-9.687,,True
-4.1223,1,12.4596,4.532,1298.05,6.202,4.2036,-3793.42,1,9828.24,5.295,-85991.85,0.73,-3431.49,3.6813,-3.012,15921.18,-9713.22,-4.6344,-12.48,True
-8.828,1,12.21664,4.8862,2258.25,6.571,4.635,-5643.82,1,12158.24,1.5603,-86107.821,1.73,-3619.29,9.789,-0.5738,15792.58,-9552.98,-4.9668,,True
-8.262,1,14.46,7.2,1716.45,4.9844,3.6857,-5130.18,1,14558.24,1.0446,-86104.593,1.73,-3866.25,6.402,-0.4504,18441.98,-9614.22,-14.091,-10.32,False
-12.628,1,12.484,4.3566,668.25,5.68,3.6362,-4900.72,1,10130.44,2.961,-86070.66,0.73,-3358.02,1.28238,-1.9316,16510.98,-12703.82,-9.612,,True
-16.94,1,13.1012,7.028,1668.71,5.52,4.308,-5021.68,0,9685.14,2.8626,-86104.143,1.73,-3601.86,3.5643,-2.2402,16365.62,-9512.84,-5.9928,,False
-6.322,1,12.30546,7.154,1497.84,4.816,3.8127,-5135.56,1,9324.64,4.743,-86372.91,0.73,-3655.77,3.2574,-0.7868,16020.2,-10410.22,-16.68,,False
-7.193,1,12.160953,4.7064,1551.24,4.9245,3.7675,-5335.62,1,9529,5.691,-86109.138,0.73,-3753.69,5.685,-1.6748,16030.24,-9803.02,-7.437,-11.35,False
-21.32,0,13.0368,8.752,1750.05,5.1657,4.1191,-5248.54,1,10313.24,5.394,-86078.577,1.73,-3928.65,1.4466,-1.1138,15953.38,-12725.82,-7.491,-11.56,True
-74.11,1,12.4552,5.7808,1499.41,4.6742,4.1912,-5188.06,1,9612.52,3.843,-86059.17,1.73,-3629.88,4.734,-2.644,16662.38,-9653.22,-7.0227,,False
-22.23,1,13.4936,5.4164,1434.35,5.499,4.514,-5698.42,1,9607.2,2.3502,-85897.11,1.73,-3600.93,1.40298,-3.726,15932.18,-16937.82,-5.7204,-11.44,False
-15.91,1,13.2686,5.575,1527.14,5.2282,4.0542,-5120.4,1,9334.24,0.44943,-86326.89,0.73,-3544.62,5.256,-0.6914,16266.78,-9621.22,-6.6726,-10.65,False
-4.7012,0,14.0446,9.024,1577.174,5.584,4.851,-2999.22,0,9614.16,0.8397,-84788.97,1.73,-3493.578,1.6236,-6.756,14873.38,-10041.22,-4.25043,,False
-20.85,0,13.0504,6.105,1562.86,4.805,4.704,-4951.18,1,9976.44,1.4127,-86144.67,1.73,-3391.17,4.407,-1.4068,17719.38,-9442.1,-8.826,-11.6,True
-4.6471,0,12.22504,4.7056,1386.25,4.5481,5.912,-4853.62,0,14482.24,4.386,-86193.3,0.73,-2867.85,5.019,-0.5236,16451.38,-9555.96,-8.097,,True
-47.03,1,12.2638,5.3344,1714.05,4.5737,4.0325,-5176.82,1,9901.24,1.0146,-86147.25,0.73,-4057.05,4.917,-3.916,17804.38,-9959.62,-11.916,,True
-35.65,1,12.168388,6.668,1733.95,4.4067,5.211,-4896.82,1,9635.81,2.6841,-85978.95,1.73,-4339.65,7.569,-1.491,16972.58,-9269.4,-7.467,-10.75,False
-42.18,0,12.16206,5.5054,1278.85,4.6173,3.6787,-1241.22,0,9964.04,1.5246,-86154.66,0.73,-2628.75,1.662,-2.396,17114.98,-10176.22,-4.33656,-8.96,False
-4.5011,0,12.2486,10.67,1588.92,5.29,4.0637,-5076.624,1,10013.24,2.6853,-86167.26,0.73,-3555.06,1.5498,-1.7786,16734.58,-11649.82,-11.202,-12.1,True
-15.78,0,13.782,6.728,1576.111,5.79,4.2495,-3958.62,0,3700.24,0.867,-86108.343,0.73,-3500.133,5.862,-0.4249,17393.38,-9251.8,-4.6275,,True
-6.009,0,14.734,4.4646,2625.35,4.4673,3.5332,-5779.02,1,9437.84,2.0055,-86157.15,1.73,-4911.15,2.2302,-0.8586,17155.98,-9900.22,-5.0208,,False
-13.85,1,13.8824,10.818,1558.91,6.143,4.1561,-2701.22,1,9553.04,3.0849,-86243.43,0.73,-3438.12,2.5689,-1.3254,16012.52,-9368.54,-4.4229,,False
-7.07,0,13.511,4.9344,1348.45,5.2006,4.4062,-5056.134,0,9618.264,4.74,-86064.96,1.73,-3477.15,3.5808,-1.843,16528.98,-9644.82,-10.164,,True
-9.637,0,13.0346,4.512,2807.35,4.35883,3.9979,-6029.62,0,9631.412,4.38,-86104.479,0.73,-7165.05,3.6765,-9.058,15932.98,-9863.82,-4.9179,-10.35,False
-11.638,1,21.556,5.153,1579.731,5.2305,3.5789,-5495.42,1,9722.98,0.813,-86135.7,1.73,-3708.3,2.7453,-8.888,19511.98,-10965.02,-7.326,,True
-4.569,0,12.4848,4.6726,1780.25,5.297,4.576,-4544.42,1,9600.12,7.344,-86081.436,0.73,-3456.21,4.719,-1.0344,16125.82,-9283.34,-5.8791,-9.66,False
-7.827,1,12.2453,4.8462,2036.95,6.327,6.189,-4724.42,0,9700.58,0.5625,-86092.455,1.73,-3517.728,4.446,-2.428,12369.98,-9315.14,-6.7161,-10.9,True
-4.6474,0,13.733,4.4424,1883.35,6.384,4.1847,-5418.02,1,9898.44,0.42012,-86131.08,1.73,-3557.43,2.5626,-3.674,16297.66,-10870.82,-5.8851,,True
-9.212,0,12.25306,4.9934,2383.05,6.18,5.818,-5742.22,0,9895.84,7.392,-86164.02,0.73,-3731.64,4.41,-2.295,16591.98,-9662.22,-5.6892,,True
-5.097,0,12.3489,6.164,1507.59,4.4094,4.0952,-5727.62,1,10432.04,4.689,-86066.64,0.73,-4050.45,7.743,-1.2218,16657.58,-9732.22,-5.4858,-11.46,True
-3.9806,0,12.4788,5.7466,1411.55,6.16,4.1999,-5536.02,0,10310.64,5.886,-86072.655,0.73,-3495.807,2.2569,-0.9336,16518.38,-10766.22,-4.9809,,True
-4.5022,1,12.8174,13.33,1557.71,7.887,4.777,-4149.62,0,9717.86,7.083,-86019.72,1.73,-3461.04,3.9162,-8.014,16554.38,-9442.42,-4.9137,-12.93,True
-21.05,1,13.7004,6.86,1553.13,4.34755,3.9848,-5200.92,1,8715.44,0.5502,-86213.94,0.73,-4639.95,2.4255,-0.44766,21047.98,-10068.22,-7.374,,False
-17.77,0,17.458,4.2694,743.45,4.9513,4.804,-5332.62,0,9281.24,1.6572,-86048.22,1.73,-3546.06,7.047,-0.7268,17583.18,-9484.82,-4.5798,,True
-13.88,1,12.161536,4.4366,1261.95,4.6529,4.4022,-4376.42,0,9642.048,2.9976,-86157.15,0.73,-3191.85,1.39821,-1.1506,16116.02,-9240.1,-5.3067,,False
-13.658,1,12.3684,10.206,1567.08,5.1502,3.7018,-5125.36,1,11603.44,0.4872,-86010.99,0.73,-3568.77,2.0934,-0.6616,21293.98,-11208.82,-12.984,,False
-26.99,0,12.564,4.4134,317.35,4.797,4.588,-5253.06,0,9548.04,3.93,-86045.37,0.73,-3490.113,2.4603,-1.5862,15985.02,-10902.02,-7.446,,False
-5.729,0,12.6626,4.364,3543.35,5.0059,4.2409,-5527.42,1,9706.52,1.8762,-86090.295,1.73,-3922.35,6.621,-6.362,17405.78,-9570.3,-5.7894,,True
-14.74,1,12.4022,5.9492,1513.83,5.679,3.6264,-5337.82,1,11148.04,6.285,-85958.16,0.73,-3538.17,7.665,-0.6526,16064.74,-9737.82,-6.3477,,True
-8.883,0,12.23662,5.3266,2044.15,4.547,4.1266,-3973.62,1,15614.24,3.0867,-85944.81,0.73,-3926.85,6.873,-0.43904,16828.18,-9311.88,-4.6509,,True
-33.17,0,15.634,7.558,1603.37,4.894,3.50826,-5234.64,1,10060.84,4.539,-86248.56,1.73,-3589.14,8.52,-1.4926,15916.38,-9601.02,-4.9593,,True
-15.14,0,12.34814,5.611,1381.45,4.8636,5.297,-4997.8,1,9970.44,1.0857,-86150.52,0.73,-3228.24,6.54,-1.589,19307.98,-9452.78,-13.344,,True
-12.083,1,12.7404,5.7822,1777.95,7.56,4.54,-4661.62,0,9451.1,1.0071,-86963.97,0.73,-3537.132,2.6061,-1.5146,16047,-9068.62,-5.4141,,False
-9.637,1,13.1754,9.058,1545.66,5.2303,3.679,-4683.62,0,10355.24,3.84,-86184.84,1.73,-3327.87,7.257,-1.234,16133.72,-9517.36,-6.1044,,True
-5.035,0,18.75,7.458,1530.68,5.509,3.8763,-4800.62,0,8936.04,1.6821,-86303.79,1.73,-3402.72,5.247,-0.5564,17073.78,-9283.52,-7.515,,True
-7.782,1,16.662,4.5476,2591.35,6.234,5.561,-5246.38,0,9707.26,3.543,-86249.73,0.73,-3685.32,2.0484,-5.586,16685.18,-11021.82,-10.722,-10.33,True
-8.282,0,12.4798,5.8408,1809.65,5.293,3.6106,-5782.22,0,9621.628,0.7431,-86071.911,0.73,-3733.53,3.3255,-0.7518,15418.58,-9721.62,-4.5756,-10.5,False
-4.634,1,12.178996,5.9898,1451.05,4.4053,5.14,-5242.66,1,9550.98,5.832,-85652.97,0.73,-3699,1.36146,-1.7344,16116.68,-15875.82,-7.0077,,False
-5.205,0,13.7246,5.596,1883.75,4.3804,4.591,-4908.7,0,9593.86,10.629,-85887.54,1.73,-4688.55,3.0447,-4.008,16322.96,-8846.22,-8.304,,True
-6.757,1,14.172,6.832,1515.39,4.6991,3.8022,-5098.74,1,9916.04,2.8347,-85981.38,1.73,-3452.01,4.2,-3.118,16237.88,-10075.62,-14.034,,True
-16.32,1,12.5592,4.4716,960.75,5.744,4.1306,-5668.42,1,9628.678,0.8217,-86617.47,1.73,-3579,5.505,-0.9396,14722.98,-9970.82,-5.9211,-11.32,False
-10.966,1,12.3143,5.2916,1487.63,6.683,3.5862,-5340.02,1,9240.64,10.989,-86088.729,1.73,-3582.66,1.5453,-1.238,16353.46,-12627.82,-8.07,-10.05,False
-5.673,0,12.2505,5.504,1896.35,7.992,3.7404,-5019.1,1,10089.04,2.4609,-86113.845,0.73,-3532.695,1.8999,-1.7488,16077.5,-9730.62,-15.513,-10.98,False
-41.6,1,13.4122,4.555,983.05,5.493,5.845,-5033.92,0,9495.72,4.299,-86080.995,0.73,-3450.72,2.9817,-1.9942,16510.98,-9581.98,-12.609,-13.08,True
-5.809,0,12.164926,6.1142,1370.85,5.391,3.52991,-4894.02,0,9879.04,2.0973,-85947.09,0.73,-3205.95,4.683,-3.086,15919.58,-9559.82,-11.835,-9.53,False
-15.91,1,12.268,8.48,1557.98,6.828,3.6096,-4910.64,1,15698.24,2.2809,-86834.07,0.73,-3445.68,2.8467,-0.4707,16664.78,-9740.22,-9.363,,True
-4.5423,1,14.398,6.65,1736.35,6.579,5.474,-3285.22,0,10148.24,10.884,-86098.184,1.73,-3538.29,4.08,-0.944,16075.58,-9397.018,-4.4082,-10.8,True
-55.37,0,12.30974,4.9352,1150.15,4.6823,4.4455,-4921.64,1,10391.84,8.412,-86055.78,0.73,-2995.35,2.2863,-1.112,16492.98,-9785.82,-8.892,-11.71,True
-8.322,1,12.33666,6.478,1617.4,4.33348,3.6206,-5221.58,1,12518.24,0.6834,-86133.51,0.73,-5640.75,10.356,-0.5908,19451.98,-9603.62,-9.009,-11.32,True
-4.3301,1,12.382,4.4992,2862.35,4.423,5.251,-4486.02,1,9773.6,7.686,-86048.79,1.73,-4054.65,3.0642,-6.49,16103.72,-9570.52,-5.0052,-10.98,True
-10.366,0,12.167134,4.8306,1431.55,4.7893,3.6731,-5220.24,1,10224.64,4.989,-86152.83,1.73,-3537.141,3.198,-1.341,16471.58,-10140.82,-6.3882,,True
-9.607,0,12.4616,5.3586,1537.6,4.7068,5.041,-5937.22,1,21124.24,1.2951,-86135.19,0.73,-3625.23,2.2728,-0.42748,17521.98,-11551.82,-4.9482,-10.7,True
-12.441,1,13.8724,5.6846,1867.95,8.808,3.7571,-5466.22,0,11445.24,0.41763,-86133.06,0.73,-3575.73,3.8052,-0.7132,13023.98,-10219.02,-6.8436,,False
-11.425,1,12.16056,7.102,1764.55,4.8957,5.602,-5114.34,1,9792.86,0.4431,-86101.924,1.73,-3883.65,4.809,-2.122,17039.18,-9482.06,-5.8068,,False
-19.56,1,12.177598,4.6746,1374.85,5.427,3.50791,-4755.02,0,9607.9,3.258,-85482.87,0.73,-3449.55,3.021,-3.81,16644.38,-9344.12,-5.811,-10.84,True
-7.241,0,13.2628,10.534,1655.52,6.152,5.185,-4629.02,1,10835.64,1.2906,-85832.52,1.73,-3529.65,9.711,-0.9252,14718.18,-9407.12,-6.1404,-13.25,True
-9.727,0,14.818,4.4556,1009.05,5.853,4.473,-5098.68,0,9803.96,1.6524,-82794.87,0.73,-3468.03,4.311,-5.814,16602.18,-10002.82,-9.297,-10.64,False
-32.45,0,12.185,5.2714,1920.45,6.544,3.468459,-4890.44,1,9819.22,3.546,-86040.75,1.73,-3546.45,4.152,-3.014,16134.48,-9459.64,-6.6717,-12.14,True
-4.4349,1,13.042,5.9372,1790.95,4.4616,4.0201,-5027.1,1,9498.04,4.905,-86055.06,0.73,-4289.85,6.651,-1.3104,16004.44,-9399.8661,-11.229,,False
-5.379,1,12.5704,5.357,1490.27,4.72,4.876,-5145.42,0,10702.24,5.412,-86083.041,1.73,-3721.98,3.7992,-1.2414,16528.38,-10395.02,-17.37,,True
-14.14,0,13.0862,4.624,1375.95,5.762,4.485,-6137.42,0,9262.44,4.926,-86097.915,1.73,-3567.9,2.6427,-0.661,16021.4,-10473.82,-4.6539,-11.1,False
-7.1,0,14.106,4.758,1656.2,5.577,4.467,-5063.226,0,9613.68,1.9752,-85244.97,1.73,-3555.66,2.6073,-4.78,16248.46,-9781.82,-9.288,-11.06,False
-4.4955,0,14.196,4.3936,3241.35,4.4392,3.9752,-4624.82,1,10021.04,0.34623,-86058.81,0.73,-3637.38,7.542,-2.582,11269.98,-9413.246,-6.1002,,False
-11.135,1,12.34954,5.3714,1452.95,6.03,3.563,-4505.22,0,9691.32,1.7709,-86018.01,0.73,-3445.77,7.602,-0.7972,16159.418,-9445.5,-5.1579,,False
-8.516,1,16.226,5.7678,1851.85,7.533,5.061,-4523.02,0,9764.44,2.4963,-86499.27,1.73,-3525.924,4.0056,-6.03,15873.98,-9457.76,-5.322,-13.7,True
-14.51,1,15.154,5.4204,2001.35,4.6267,4.3616,-6238.02,0,10977.84,0.5934,-86048.13,0.73,-4256.85,14.805,-0.9744,22019.98,-9465.64,-4.5168,,True
-24.73,0,13.9784,4.9132,1819.85,5.1309,3.9736,-5362.62,1,10123.64,0.8133,-86112.321,1.73,-3651.36,7.761,-1.9368,16879.78,-9648.22,-5.6646,-12.65,True
-4.6856,0,13.3608,5.547,1227.55,8.185,3.5919,-4702.02,0,10526.64,3.447,-86120.046,1.73,-3414.12,1.6095,-1.0724,16178.538,-10577.62,-7.641,,False
-32.78,1,12.32518,7.862,1527.21,4.3798,3.9738,-5315.22,0,9614.28,3.354,-96519.87,1.73,-4155.15,5.673,-3.154,15794.98,-9859.22,-7.188,,False
-37.62,1,12.919,4.752,1351.65,5.0378,4.946,-4945.72,0,9934.64,0.5325,-86147.19,1.73,-3349.14,2.9145,-2.3164,20409.98,-9714.42,-8.721,-13.17,True
-31.28,0,12.177428,4.366,1809.35,4.3797,3.6494,-5341.02,1,11774.24,2.7153,-86080.479,1.73,-3997.05,6.495,-0.6236,16303.62,-9679.02,-5.0553,-10.62,True
-8.158,1,12.29556,6.646,1808.05,5.2305,3.9853,-5647.82,1,10745.64,3.288,-85968.3,0.73,-3853.35,4.689,-0.933,15893.58,-9912.82,-5.6865,-11.08,True
-13.283,1,13.9676,8.146,1534.26,4.644,4.777,-4390.62,0,9816.3,2.2764,-86110.257,0.73,-3093.75,1.8075,-3.956,17181.18,-9931.42,-5.0595,,True
